0,3,1,1,0
1,4,1,1,0
2,5,1,1,0
3,6,1,1,0
4,7,1,1,0
5,8,1,1,0
6,9,1,1,0
7,9,1,0,0
8,10,1,1,0
9,11,1,1,0
10,12,1,1,0
11,13,1,1,0
12,13,1,0,0
13,13,1,0,0
14,13,1,0,0
15,14,1,1,0
16,15,1,1,0
17,16,1,1,0
18,16,1,0,0
19,17,2,1,1
20,18,2,1,0
21,20,3,2,1
22,22,3,2,0
23,23,3,1,0
24,25,3,2,0
25,26,3,1,0
26,27,3,1,0
27,27,3,0,0
28,30,3,3,0
29,32,3,2,0
30,32,3,0,0
31,34,3,2,0
32,35,3,1,0
33,35,3,0,0
34,37,3,2,0
35,39,3,2,0
36,39,3,0,0
37,40,4,1,1
38,40,5,0,1
39,41,5,1,0
40,42,6,1,1
41,45,7,3,1
42,48,7,3,0
43,50,7,2,0
44,54,7,4,0
45,56,8,2,1
46,57,8,1,0
47,60,9,3,1
48,65,10,5,1
49,67,10,2,0
50,70,11,3,1
51,75,12,5,1
52,81,12,6,0
53,85,13,4,1
54,89,13,4,0
55,93,14,4,1
56,99,14,6,0
57,101,15,2,1
58,103,17,2,2
59,105,19,2,2
60,111,22,6,3
61,117,22,6,0
62,123,23,6,1
63,129,25,6,2
64,133,28,4,3
65,139,29,6,1
66,146,31,7,2
67,151,32,5,1
68,160,36,9,4
69,168,38,8,2
70,178,41,10,3
71,187,43,9,2
72,201,47,14,4
73,213,48,12,1
74,227,48,14,0
75,239,49,12,1
76,252,51,13,2
77,266,52,14,1
78,278,55,12,3
79,292,58,14,3
80,303,60,11,2
81,324,64,21,4
82,339,67,15,3
83,354,67,15,0
84,375,74,21,7
85,399,79,24,5
86,423,84,24,5
87,453,86,30,2
88,478,93,25,7
89,505,100,27,7
90,533,108,28,8
91,565,116,32,8
92,603,120,38,4
93,646,126,43,6
94,684,132,38,6
95,727,136,43,4
96,779,140,52,4
97,822,146,43,6
98,855,155,33,9
99,903,162,48,7
100,957,168,54,6
101,1004,175,47,7
102,1063,185,59,10
103,1116,198,53,13
104,1170,216,54,18
105,1231,228,61,12
106,1305,232,74,4
107,1371,249,66,17
108,1455,270,84,21
109,1549,289,94,19
110,1651,309,102,20
111,1746,324,95,15
112,1848,351,102,27
113,1964,372,116,21
114,2078,387,114,15
115,2206,406,128,19
116,2343,429,137,23
117,2482,450,139,21
118,2627,484,145,34
119,2772,508,145,24
120,2939,532,167,24
121,3099,553,160,21
122,3268,587,169,34
123,3451,610,183,23
124,3641,640,190,30
125,3844,683,203,43
126,4049,733,205,50
127,4292,776,243,43
128,4571,813,279,37
129,4844,876,273,63
130,5131,934,287,58
0,3,1,1,0
1,4,1,1,0
2,5,1,1,0
3,6,1,1,0
4,7,1,1,0
5,8,1,1,0
6,9,1,1,0
7,9,1,0,0
8,10,1,1,0
9,11,1,1,0
10,12,1,1,0
11,13,1,1,0
12,13,1,0,0
13,13,1,0,0
14,13,1,0,0
15,14,1,1,0
16,15,1,1,0
17,16,2,1,1
18,17,2,1,0
19,19,2,2,0
20,19,3,0,1
21,20,3,1,0
22,21,4,1,1
23,21,4,0,0
24,21,5,0,1
25,24,5,3,0
26,25,6,1,1
27,27,6,2,0
28,30,6,3,0
29,32,6,2,0
30,34,6,2,0
31,35,6,1,0
32,37,7,2,1
33,40,8,3,1
34,45,8,5,0
35,48,9,3,1
36,52,9,4,0
37,56,10,4,1
38,61,10,5,0
39,65,10,4,0
40,69,10,4,0
41,72,11,3,1
42,77,12,5,1
43,80,12,3,0
44,83,12,3,0
45,88,14,5,2
46,91,14,3,0
47,93,15,2,1
48,95,16,2,1
49,102,17,7,1
50,105,19,3,2
51,112,21,7,2
52,121,23,9,2
53,129,25,8,2
54,134,28,5,3
55,140,29,6,1
56,151,31,11,2
57,160,31,9,0
58,169,35,9,4
59,181,37,12,2
60,194,38,13,1
61,206,40,12,2
62,221,40,15,0
63,231,40,10,0
64,239,40,8,0
65,248,42,9,2
66,256,44,8,2
67,272,48,16,4
68,283,53,11,5
69,299,57,16,4
70,315,60,16,3
71,333,63,18,3
72,347,67,14,4
73,365,69,18,2
74,384,73,19,4
75,404,75,20,2
76,422,78,18,3
77,440,80,18,2
78,467,87,27,7
79,494,94,27,7
80,519,98,25,4
81,544,102,25,4
82,568,106,24,4
83,595,113,27,7
84,625,119,30,6
85,654,126,29,7
86,690,131,36,5
87,725,140,35,9
88,769,147,44,7
89,810,154,41,7
90,849,163,39,9
91,901,168,52,5
92,950,179,49,11
93,996,189,46,10
94,1055,207,59,18
95,1110,218,55,11
96,1178,230,68,12
97,1244,245,66,15
98,1312,254,68,9
99,1390,268,78,14
100,1475,282,85,14
101,1558,300,83,18
102,1645,323,87,23
103,1732,333,87,10
104,1823,358,91,25
105,1949,378,126,20
106,2057,399,108,21
107,2177,423,120,24
108,2300,443,123,20
109,2422,463,122,20
110,2584,491,162,28
111,2730,519,146,28
112,2891,544,161,25
113,3063,569,172,25
114,3235,595,172,26
115,3407,626,172,31
116,3585,666,178,40
117,3804,710,219,44
118,4022,751,218,41
119,4256,790,234,39
120,4511,832,255,42
121,4785,896,274,64
122,5058,942,273,46
123,5347,997,289,55
124,5670,1050,323,53
125,5995,1094,325,44
126,6352,1156,357,62
127,6719,1223,367,67
128,7093,1298,374,75
129,7487,1386,394,88
130,7919,1470,432,84
0,3,1,1,0
1,4,1,1,0
2,5,1,1,0
3,6,1,1,0
4,7,1,1,0
5,8,1,1,0
6,9,1,1,0
7,9,1,0,0
8,10,1,1,0
9,11,1,1,0
10,12,1,1,0
11,13,1,1,0
12,13,1,0,0
13,13,1,0,0
14,13,1,0,0
15,14,1,1,0
16,15,1,1,0
17,16,1,1,0
18,16,1,0,0
19,17,2,1,1
20,18,2,1,0
21,20,3,2,1
22,22,3,2,0
23,23,3,1,0
24,25,3,2,0
25,26,3,1,0
26,27,3,1,0
27,27,3,0,0
28,30,3,3,0
29,32,3,2,0
30,32,3,0,0
31,34,3,2,0
32,35,3,1,0
33,35,3,0,0
34,37,3,2,0
35,39,3,2,0
36,39,3,0,0
37,40,4,1,1
38,40,5,0,1
39,41,5,1,0
40,42,6,1,1
41,45,7,3,1
42,48,7,3,0
43,50,7,2,0
44,54,7,4,0
45,56,8,2,1
46,57,8,1,0
47,60,9,3,1
48,65,10,5,1
49,67,10,2,0
50,70,11,3,1
51,75,12,5,1
52,81,12,6,0
53,85,13,4,1
54,89,13,4,0
55,93,14,4,1
